disasterNumber,totalNumberIaApproved,totalAmountIhpApproved,totalAmountHaApproved,totalAmountOnaApproved,totalObligatedAmountPa,totalObligatedAmountCatAb,totalObligatedAmountCatC2g,paLoadDate,iaLoadDate,totalObligatedAmountHmgp,hash,lastRefresh,id
5092,,,,,14620253.01,55459.35,,2023-10-09T00:00:00.000Z,,459594,1888e12fe8b21a7578a4a12d2645000e2decb4fe,2023-10-09T04:03:28.911Z,9a52f3a7-11c2-4273-8e59-91fd7a38a337
5093,,,,,30805790,294372.82,,2023-10-09T00:00:00.000Z,,393133.31,719a24c71f2f9bc297d8832c79d5aadfedcb368d,2023-10-09T04:03:28.911Z,fefa318c-b6ec-48aa-b2db-db8bf35274de
5094,,,,,10860.03,10860.03,,2023-10-09T00:00:00.000Z,,33602.22,6e0f641bdbddee004afba06c75c150eb95ed29e8,2023-10-09T04:03:28.911Z,48fdf10e-3cfa-4767-a981-a916e1b3d44e
5095,,,,,484775.83,60497.74,,2023-10-09T00:00:00.000Z,,290927.42,7013dd894ed02de49e554a5ca264958d734692e5,2023-10-09T04:03:28.911Z,2008fd91-cc1d-495e-8efc-dc3b9c5434ee
5096,,,,,89797.56,1545.63,,2023-10-09T00:00:00.000Z,,37539.8,c1be0f4611fcfbe5a5a3ba61f8e39b361d273c65,2023-10-09T04:03:28.911Z,d30eaaee-e34c-47af-bb53-b28e67c4040c
5097,,,,,3214693.54,26601.47,,2023-10-09T00:00:00.000Z,,39142.24,b2c8626c6d3e70480c92e5808f110965a330ce67,2023-10-09T04:03:28.911Z,c15cad0f-7569-448e-8fab-61ac84a115cf
5098,,,,,1337.73,,,2023-10-09T00:00:00.000Z,,43150.66,bd3762ba871e7904a74929c8ee8392e5d7700065,2023-10-09T04:03:28.911Z,21ed025d-201f-4eaf-abbf-ff46651aa738
5099,,,,,7905132.26,199462.21,,2023-10-09T00:00:00.000Z,,347360,ecd31e4d13dbbc026e12d01d87a1a674ac118821,2023-10-09T04:03:28.911Z,40c97523-3ae7-4a43-9219-3e613c2808aa
5100,,,,,20804.69,17698.17,,2023-10-09T00:00:00.000Z,,238444.48,ad01bb782a2e603283a22c51cbc2bc55661a9d4e,2023-10-09T04:03:28.911Z,c8f0a3ac-0556-40ff-a2fa-5466074d7b43
5101,,,,,2017.05,0,,2023-10-09T00:00:00.000Z,,38681.58,13f4283051a810d24adb57c3e8d80a2934483f72,2023-10-09T04:03:28.911Z,1d59bfd2-518d-42b5-87e5-0f1122e577e6
5102,,,,,5569206.78,26485.11,,2023-10-09T00:00:00.000Z,,134573,d6410448682a3aecea9e5d716653f17ef47a574c,2023-10-09T04:03:28.911Z,54fc6b7d-4491-4315-9775-3f354d1601bb
5103,,,,,61117.81,26090.33,,2023-10-09T00:00:00.000Z,,37449.95,18f1c23b8bdd332e371c7ba8534ff2d96507241c,2023-10-09T04:03:28.911Z,481ad1a7-4335-414c-ba0f-84528dfd2db9
5104,,,,,43712.38,31363.86,,2023-10-09T00:00:00.000Z,,21540.47,8b06dbb480ea3eda9a7e1104511875f9c6fbd18e,2023-10-09T04:03:28.911Z,d92c542c-1491-46ab-a0e7-b31161368387
5105,,,,,1345529.18,37914.57,,2023-10-09T00:00:00.000Z,,31630,1319a1c5d0ec966e696740401e8d1bf69294ec50,2023-10-09T04:03:28.911Z,59cb637a-9fa0-4767-8107-e03541f97dfe
5106,,,,,590836.12,,,2023-10-09T00:00:00.000Z,,46716.62,b390b2e5bdb24be726c3fef18c8933a58335cecf,2023-10-09T04:03:28.911Z,1c284299-a033-4686-87f2-c54d0056ac87
5107,,,,,2423995.63,35441.35,,2023-10-09T00:00:00.000Z,,14435.4,41a1eb58d2ff68805937ef9f6066d337e004810e,2023-10-09T04:03:28.911Z,52acf990-f481-44f4-9ec1-d4101bd99158
5108,,,,,2607.76,2607.76,,2023-10-09T00:00:00.000Z,,30584.95,fd1c5cf33d584bc4191c55d1e9c46d95450e510e,2023-10-09T04:03:28.911Z,dd4760ac-756a-4085-ab04-e7a27608420d
5109,,,,,49101.98,,,2023-10-09T00:00:00.000Z,,438444.88,7e70af76ee5331aea22bcf09bdd070d7d66f1762,2023-10-09T04:03:28.911Z,c7a6f7ae-8ee1-423c-adf3-7a95c81d1c16
5110,,,,,30961.05,3408.03,,2023-10-09T00:00:00.000Z,,347360,560e897a531ebc9eb5a5c1c04d55783485d38cc2,2023-10-09T04:03:28.911Z,1e6d16ed-8dfd-4f7b-aeaf-d81bbf762903
5111,,,,,3149241.65,273417.55,,2023-10-09T00:00:00.000Z,,21592,8a01e4eb7f7c617aa3657918c34145c25c7eaefc,2023-10-09T04:03:28.911Z,f8300338-6128-4be5-8ebe-6735877d6ad2
5112,,,,,2909011.76,512278.84,,2023-10-09T00:00:00.000Z,,335650.35,616d6f3a0058ae582253dc33411ae2a7888a53e2,2023-10-09T04:03:28.911Z,d456aa2a-3cd0-4868-910d-863140809cbf
5113,,,,,1790.68,1790.68,,2023-10-09T00:00:00.000Z,,44544.76,ba63551466afafb9b3c3449b5754a00324a9a1e4,2023-10-09T04:03:28.911Z,e27b412c-39ab-4778-8ef6-510b372dfe73
5114,,,,,235333.26,7023.67,,2023-10-09T00:00:00.000Z,,30157.16,a1a08b08b396b7d0f4200c44f41c8b79fd27b102,2023-10-09T04:03:28.911Z,8bc08e68-f688-4ce9-a6c5-10b12f48a28b
5116,,,,,3568584.84,166084.75,,2023-10-09T00:00:00.000Z,,205398.41,d46c649cdf2d516e0e447dc7727de443b33e15ca,2023-10-09T04:03:28.911Z,9db1f677-2d8d-412f-b2d7-b7b8ff2e73a3
